"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Ecuador","ECU","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","329000","0","0","0","0","0","0","0","39000","78000","117000","0","790000","7265000","5922000","380597000","788135000","1070504000","1512436000","1799478000","2019503000","2235390000","2339789000","4468000","15613000","8744000","8756000","8040000","2084000","1470000","96000","71000","37000","37000","37000","0","30471000","36673000","36673000","36673000","36673000","",
"Egypt, Arab Rep.","EGY","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","32000","4495000","421000","21199000","775000","327000","0","0","0","0","1521000","6035000","10898000","16396000","25650000","235399000","197367000","197125000","413139000","568649000","23100000","2183000","2109000","2104000","2175000","2319000","2209000","2399000","1005000","199000","14000","2000","1000","1000","0","590000","660000","470000","360000","0","0","0","",
"Euro area","EMU","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","163000","0","483000","687000","915000","1038000","1189000","1213000","",
"Spain","ESP","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","747000","0","3000","100000","530000","399000","279000","441000","290000","300000","265000","263000","281000","341000","289000","1476000","578000","608000","3243000","11594000","12049000","14968000","18547000","19365000","20375000","17378000","18233000","4657000","4896000","4671000","4688000","4720000","1400000","1377000","1391000","1463000","1343000","1364000","1384000","1295000","1281000","",
"European Union","EUU","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42000","71000","71000","71000","0","0","",
"France","FRA","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faeroe Islands","FRO","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","102000","90000","0","28484000","100000","228000","6672000","19454000","57777000","74628000","89515000","15314000","0","0","0","1651000","2335000","4777000","2224000","3659000","5979000","3018000","2333000","2930000","2307000","2555000","47000","71000","14000","25000","",
"United Kingdom","GBR","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","165000","333000","7740000","12973000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76137000","381862000","",
"Ghana","GHA","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","23000","242000","10621000","15938000","6132000","3460000","1864000","2006000","803000","3479000","1190000","1391000","1694000","958000","1523000","1535000","2154000","4104000","3963000","8327000","10501000","18319000","22175000","27594000","32831000","5441000","2545000","2487000","2137000","5020000","3027000","9852000","10611000","48288000","41667000","32575000","31674000","22291000","3914000","45307000","17110000","86061000","86205000","",
"Guinea","GIN","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","4890000","6269000","6489000","6246000","5413000","5415000","8562000","9460000","5380000","9349000","12877000","15805000","16997000","29122000","4718000","9524000","9318000","8002000","5552000","6595000","8026000","9445000","10042000","10499000","11322000","9879000","3454000","4011000","4122000","4122000","4122000","4122000","4122000","4122000","4122000","4122000","2593000","2593000","2593000","2593000","2593000","",
"Gambia, The","GMB","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","86000","186000","116000","768000","2880000","4261000","1886000","0","265000","2456000","0","0","0","3000","4000","4000","0","0","0","0","0","0","0","0","0","0","0","0","106000","281000","414000","32000","0","",
