"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Micronesia, Fed. Sts.","FSM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1860.1","380.3","380.3","380.3","380.3","1860.8","1860.4","1861","1860.6","1860.3","1860.9","1860.5","1861.2","1860.8","1861.5","1861","1859.7","1858.3","1856.9","1855.5","1854.2","1852.8","","",
"Gabon","GAB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","220000","","",
"United Kingdom","GBR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26110","26292","26474","26656","26838","27020","27202","27384","27566","27748","27930","28034","28138","28242","28346","28450","28522","28594","28666","28738","28810","28882","","",
"Georgia","GEO","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27790","","27770","27756","27747","27736","27724","27713","27701","27690","27678","27653","27627","27602","27576","27551","27525","27499","27474","27448.4","27422.9","27397.4","","",
"Ghana","GHA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74480","73126","71772","70418","69064","67710","66356","65002","63648","62294","60940","59786","58632","57478","56324","55170","54016","52862","51708","50554","49400","48246","","",
"Guinea","GIN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72640","72280","71920","71560","71200","70840","70480","70120","69760","69400","69040","68680","68320","67960","67600","67240","66880","66520","66160","65800","65440","65080","","",
"Gambia, The","GMB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4420","4439","4458","4477","4496","4515","4534","4553","4572","4591","4610","4630","4650","4670","4690","4710","4728","4746","4764","4782","4800","4818","","",
"Guinea-Bissau","GNB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22160","22064","21968","21872","21776","21680","21584","21488","21392","21296","21200","21104","21008","20912","20816","20720","20620","20520","20420","20320","20220","20120","","",
"Equatorial Guinea","GNQ","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18600","18483","18366","18249","18132","18015","17898","17781","17664","17547","17430","17314","17198","17082","16966","16850","16732","16614","16496","16378","16260","16142","","",
"Greece","GRC","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32990","33292","33594","33896","34198","34500","34802","35104","35406","35708","36010","36312","36614","36916","37218","37520","37822","38124","38426","38728","39030","39332","","",
"Grenada","GRD","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","","",
"Greenland","GRL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2.2","2.2","2.2","","",
"Guatemala","GTM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47480","46940","46400","45860","45320","44780","44240","43700","43160","42620","42080","41540","41000","40460","39920","39380","38818","38256","37694","37132","36570","36008","","",
"Guam","GUM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","","",
"Guyana","GUY","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","152050","","",
"High income","HIC","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17759185.8","9526705","17733015.2","17792201.3","17805864.4","17819853.5","17833512.9","17847173.4","17860833.8","17874495.4","17895696.8","17902746","17909795.2","17916845.3","17923893.5","17930944.6","17931787.8","17932630.4","17933477.4","17934322.1","17935165.5","17936010","","",
