"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Faeroe Islands","FRO","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","28000","112000","0","0","0","6000","10965000","497000","8991000","36068000","110948000","220015000","210074000","360469000","35834000","25000","244000","0","77362000","91830000","58682000","3597000","12294000","261620000","179958000","183773000","334337000","7975000","2608000","612000","258000","20000","116000","",
"United Kingdom","GBR","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","15099000","53710000","29547000","17617000","141000","678000","1208000","17835000","173000","7084000","7266000","11373000","7414000","7390000","7380000","7380000","7380000","7380000","7380000","",
"Ghana","GHA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","5868000","9716000","5079000","3565000","1274000","5273000","9965000","6261000","3642000","8826000","11148000","6855000","10150000","13817000","15120000","16756000","18588000","30405000","45123000","17831000","16771000","20333000","19283000","20728000","1062000","2856000","2416000","3025000","7083000","3822000","7694000","8382000","10900000","5249000","12068000","5072000","3611000","4711000","10499000","19157000","19300000","",
"Guinea","GIN","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","7369000","11213000","13917000","16608000","21287000","24759000","26859000","24303000","23684000","20850000","22269000","24739000","25265000","26657000","18746000","29757000","68766000","23135000","50588000","71600000","41546000","59874000","91414000","74296000","92532000","89209000","98349000","55959000","77287000","70002000","73088000","75421000","77800000","80292000","86425000","90893000","35203000","35812000","53117000","77505000","36910000","",
"Gambia, The","GMB","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","15000","38000","40000","194000","307000","520000","1154000","1765000","4140000","2589000","2376000","2309000","1644000","632000","504000","575000","606000","609000","661000","186000","228000","187000","47000","43000","4000","407000","2769000","2916000","1387000","869000","617000","1838000","2095000","1926000","1041000","1616000","",
"Guinea-Bissau","GNB","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","107000","217000","428000","674000","910000","1474000","1769000","1935000","2481000","4180000","6869000","9759000","13651000","18519000","27553000","37166000","50757000","60507000","73929000","83018000","62813000","63977000","73513000","80693000","87420000","88542000","106582000","119709000","117513000","118659000","126295000","142428000","144454000","147506000","125631000","33123000","33056000","",
"Equatorial Guinea","GNQ","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Grenada","GRD","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","524000","835000","1648000","2217000","3103000","3276000","4306000","6511000","7497000","6195000","6210000","6396000","6320000","6880000","963000","1565000","2465000","1592000","2881000","2840000","3433000","3996000","1496000","2581000","3456000","5479000","7012000","7753000","8374000","11844000","",
"Greenland","GRL","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1417000","6271000","9311000","18153000","30613000","44174000","50162000","29837000","29972000","18106000","20715000","22330000","22312000","17823000","14681000","15616000","13738000","686000","684000","0","0","0","0","0","0","0","0","0","0","",
"Guam","GUM","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
